id,question,choice1,choice2,choice3,choice4,solution
1,What is the capital city of Slovakia?,Budapest,Belgrade,Bucharest,Bratislava,Bratislava
2,What is the capital city of the Czech Republic?,Zagreb,Prague,Sofia,Sarajevo,Prague
3,What is the capital city of Finland?,Helsinki,Oslo,Stockholm,Copenhagen,Helsinki
4,What is the capital city of Belgium?,Bruges,Antwerp,Brussels,Ghent,Brussels
5,What is the capital city of Spain?,Seville,Valencia,Barcelona,Madrid,Madrid
6,What is the capital city of Wales?,Belfast,Cardiff,London,Edinburgh,Cardiff
7,What is the capital city of Northern Ireland?,London,Belfast,Edinburgh,Cardiff,Belfast
8,What is the capital city of Ireland?,Waterford,Dublin,Cork,Limerick,Dublin
9,What is the capital city of Scotland?,London,Belfast,Cardiff,Edinburgh,Edinburgh
10,What is the capital city of Poland?,Warsaw,Tallinn,Riga,Vilnius,Warsaw
11,What is the capital city of Cuba?,Havana,Quito,Mexico City,George Town,Havana
12,What is the capital city of North Korea?,Beijing,Seoul,Pyongyang,Moscow,Pyongyang
13,What is the capital city of Japan?,Osaka,Fukushima,Kyoto,Tokyo,Tokyo
14,What is the capital city of Romania?,Bucharest,Sofia,Belgrade,Budapest,Bucharest
15,What is the capital city of Switzerland?,Lausanne,Basel,Bern,Zurich,Bern
16,Vienna is the capital city of: ,Austria,Switzerland,Poland,Germany,Austria
17,Lisbon is the capital city of: ,Spain,Portugal,Italy,France,Portugal
18,Stockholm is the capital city of: ,Finland,Norway,Sweden,Denmark,Sweden
19,Ottawa is the capital city of: ,USA,Australia,England,Canada,Canada
20,Bangkok is the capital city of:,Cambodia,Thailand,Vietnam,India,Thailand
21,Canberra is the capital city of: ,England,USA,Australia,Canada,Australia
22,Tehran is the capital city of:,Iran,Iraq,Turkey,Saudi Arabia,Iran
23,Chisinau  is the capital city of: ,Moldova,Russia,Belarus,Ukraine,Moldova
24,To get from London to Cardiff you would travel:,North,East,South,West,West
25,To get from London to Brighton you would travel:,North,East,South,West,South
26,To get from London to Edinburgh you would travel:,North,East,South,West,North
27,To get from Dublin to Belfast you would travel:,North,East,South,West,North
28,To get from Glasgow to Edinburgh you would travel:,North,East,South,West,East
29,To get from San Francisco to Washington D.C. you would travel:,North,East,South,West,East
30,To get from Miami to New York City you would travel:,North,East,South,West,North
